ID,Title,Version,Status,Priority,Severity,Type,Reproducibility,Reporter,Assignee,Description,"Expected results","Steps to reproduce",Device,Tags,Comments,"Created at","Updated at"
74,"when order is COD, status is new, verify link is not coming in the panel",sandbox,Confirmed,High,Major,Functional,Always,"Nirali Thakkar",jeevan120429,"when order is COD, status is new, verify link is not coming in the panel
",,,"Windows PC Lenovo Generic/All Windows 8",,0,"13/06/2017 07:18:36 ","13/06/2017 07:18:36 "
75,"when user enters wrong transaction id for that order id, then no error message is coming",sandbox,Confirmed,High,Major,Visual,Always,"Nirali Thakkar",jeevan120429,"when user enters wrong transaction id for that order id, then no error message is coming.

500 error message is coming",,,"Windows PC Lenovo Generic/All Windows 8",,0,"13/06/2017 07:38:51 ","13/06/2017 07:38:51 "
76,"when user enters tax > 100 it is accepting in product_hsn table",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar","priyanka k","when user enters tax > 100 it is accepting in product_hsn table",,,"Windows PC Lenovo Generic/All Windows 8",,0,"20/06/2017 05:56:19 ","20/06/2017 08:56:03 "
77,"when user enters tax amount decimal value greater than 2 it is not getting round off",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar","priyanka k","when user enters tax amount decimal value greater than 2 it is not getting round off",,,"Windows PC Lenovo Generic/All Windows 8",,0,"20/06/2017 05:57:15 ","20/06/2017 08:55:49 "
78,"when user without entering hsn code column tries to update other columns, its not throwing error msg",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar","priyanka k","when user without entering hsn code column tries to update other columns, its not throwing error msg

Note: product_product table
",,,"Windows PC Lenovo Generic/All Windows 8",,0,"20/06/2017 05:58:59 ","20/06/2017 09:05:55 "
79,"GST/ARN no in vendor panel is accepting only numeric values. Its should be alphanumeric",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar","priyanka k","GST/ARN no in vendor panel is accepting only numeric values. Its should be alphanumeric",,,"Windows PC Lenovo Generic/All Windows 8",,0,"20/06/2017 06:00:14 ","20/06/2017 08:55:16 "
80,"when user tries to run the script, it is not running as expected",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar","priyanka k","when user tries to run the script, it is not running as expected",,,"Windows PC Lenovo Generic/All Windows 8",,0,"20/06/2017 06:01:45 ","21/06/2017 09:41:16 "
81,"when nothing is inserted in product_hsn table then also 0 products inserted successfully message is coming",sandbox,Closed,High,Major,Visual,Always,"Nirali Thakkar","priyanka k","when nothing is inserted in product_hsn table then also 0 products inserted successfully message is coming",,,"Windows PC Lenovo Generic/All Windows 8",,0,"20/06/2017 06:03:26 ","20/06/2017 08:53:21 "
82,"when user enters same GST/ARN number while adding seller data, it is not giving error message",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar","priyanka k","when user enters same GST/ARN number while adding seller data, it is not giving error message

Note: For every vendor grn/arn no should be unique",,,"Windows PC",,0,"20/06/2017 09:37:20 ","21/06/2017 09:41:05 "
83,"not able to update valid hsn code from the product panel",sandbox,Closed,High,Major,Functional,Always,"Nirali Thakkar","priyanka k","not able to update valid hsn code from the product panel",,,"Windows PC Lenovo Generic/All Windows 8",,0,"21/06/2017 07:08:55 ","21/06/2017 09:42:14 "
